company_id,company_name,is_target,country,currency,gics_sector,gics_sub_industry,fiscal_year,revenues,operating_costs,ebitda,depreciation_amortization,ebit,interest_expense,pre_tax_income,taxes,net_income,nopat,net_fixed_assets,net_working_capital,net_invested_capital,gross_debt,cash,net_debt,equity,total_assets,capex,cost_of_debt,corporate_tax_rate,employees,data_source
a_c_metal_s_r_l,A.C. METAL S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2020,7.408961,7.166501,0.24246,0.000336,0.242124,0.0,0.242124,0.064512,0.177612,0.177612,0.001007,0.09442,0.095427,0.0,0.200818,-0.200818,0.296245,1.198541,0.000336,0.0275,0.279,1,aida
a_c_metal_s_r_l,A.C. METAL S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2021,21.338501,20.827765,0.510736,0.020143,0.490593,0.00229,0.488303,0.130106,0.358197,0.359877,0.001825,0.280127,0.281952,0.24,0.512489,-0.272489,0.554441,4.435439,0.020961,0.009542,0.279,2,aida
a_c_metal_s_r_l,A.C. METAL S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2022,18.994218,18.583279,0.410939,0.008845,0.402094,0.000292,0.401802,0.112063,0.289739,0.28995,0.002131,-0.488623,-0.486492,0.0,0.830671,-0.830671,0.344179,3.22389,0.009151,0.0537,0.279,2,aida
a_c_metal_s_r_l,A.C. METAL S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2023,12.939016,12.603392,0.335624,0.003327,0.332297,0.003311,0.328986,0.092648,0.236338,0.238717,0.005739,-1.321206,-1.315467,0.0,1.595984,-1.595984,0.280517,2.572349,0.006935,0.0617,0.279,3,aida
a_c_metal_s_r_l,A.C. METAL S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2024,9.978446,9.753402,0.225044,0.01669,0.208354,0.0,0.220988,0.063921,0.157067,0.148087,0.111043,0.314743,0.425786,0.733272,0.495071,0.238201,0.187585,2.103643,0.121994,0.0,0.279,3,aida
a_l_p_e_m_2_srl,A.L.P.E.M. 2 SRL,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2022,7.080984,7.026799,0.054185,0.002644,0.051541,8.7e-05,0.051454,0.024014,0.02744,0.027486,0.007131,-0.526049,-0.518918,0.0,0.556358,-0.556358,0.03744,2.861449,0.002644,0.0537,0.279,4,aida
a_l_p_e_m_2_srl,A.L.P.E.M. 2 SRL,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2023,11.891622,11.745809,0.145813,0.021126,0.124687,0.000215,0.124472,0.049938,0.074534,0.074663,0.080482,-0.10435,-0.023868,0.0,0.135841,-0.135841,0.111973,2.991086,0.094477,0.0617,0.279,3,aida
a_l_p_e_m_2_srl,A.L.P.E.M. 2 SRL,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2024,10.115401,10.066335,0.049066,0.019017,0.030049,0.000367,0.029682,0.028783,0.000899,0.01202,0.073303,-0.171414,-0.098111,0.0,0.210985,-0.210985,0.112874,3.159466,0.011838,0.052,0.279,4,aida
a_m_forge_srl,A.M. FORGE SRL,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2020,4.226694,3.691143,0.535551,0.054985,0.480566,0.010874,0.469692,0.132311,0.337381,0.345192,0.303306,0.337262,0.640568,0.105515,0.033398,0.072117,0.568451,3.659468,0.054985,0.103056,0.279,2,aida
a_m_forge_srl,A.M. FORGE SRL,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2021,4.817971,4.124978,0.692993,0.051954,0.641039,0.009264,0.631775,0.184479,0.447296,0.453855,0.545888,0.234915,0.780803,0.285797,0.390741,-0.104944,0.885747,3.726923,0.294536,0.032415,0.279,2,aida
a_m_forge_srl,A.M. FORGE SRL,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2022,3.948634,3.178669,0.769965,0.092625,0.67734,0.03995,0.63739,0.187022,0.450368,0.478596,2.096425,-0.200867,1.895558,0.875718,0.036276,0.839442,1.056116,4.863342,1.643162,0.04562,0.279,2,aida
a_m_forge_srl,A.M. FORGE SRL,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2023,5.83207,4.305896,1.526174,0.323012,1.203162,0.05441,1.148752,0.378649,0.770103,0.806579,3.88945,-2.080722,1.808728,0.662615,0.500105,0.16251,1.646218,5.724182,2.116037,0.082114,0.279,2,aida
a_m_forge_srl,A.M. FORGE SRL,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2024,5.69017,4.616275,1.073895,0.24913,0.824765,0.330746,0.494019,0.184409,0.30961,0.516894,5.42934,-3.408133,2.021207,0.577979,0.312601,0.265378,1.755829,7.302433,1.78902,0.15,0.279,2,aida
a_s_a_p_s_r_l,A.S.A.P. S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2020,7.149283,6.915197,0.234086,0.006491,0.227595,0.063005,0.16459,0.056294,0.108296,0.149752,0.018307,2.057776,2.076083,0.942821,0.07566,0.867161,1.208922,3.197488,0.006491,0.066826,0.279,3,aida
a_s_a_p_s_r_l,A.S.A.P. S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2021,10.237679,9.423889,0.81379,0.025252,0.788538,0.078178,0.71036,0.208167,0.502193,0.557461,0.019742,3.82989,3.849632,2.203538,2.1e-05,2.203517,1.646115,5.414562,0.026687,0.035478,0.279,3,aida
a_s_a_p_s_r_l,A.S.A.P. S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2022,11.78072,10.748455,1.032265,0.025222,1.007043,0.123672,0.883371,0.257642,0.625729,0.713331,0.025827,4.599876,4.625703,2.354127,0.000267,2.35386,2.271843,5.976704,0.031307,0.052534,0.279,3,aida
a_s_a_p_s_r_l,A.S.A.P. S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2023,10.438221,9.859691,0.57853,0.436449,0.142081,0.131217,0.010864,0.030387,-0.019523,0.056832,0.024438,2.651438,2.675876,1.126895,0.07761,1.049285,1.626591,4.691164,0.43506,0.116441,0.279,4,aida
a_s_a_p_s_r_l,A.S.A.P. S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2024,9.021618,8.483729,0.537889,0.017942,0.519947,0.100766,0.419181,0.141848,0.277333,0.344,0.019952,2.502777,2.522729,0.647639,0.028834,0.618805,1.903924,4.633838,0.013456,0.15,0.279,4,aida
a_s_u_s_r_l,A.S.U. S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2020,13.365305,12.595221,0.770084,0.173054,0.59703,0.056621,0.540409,0.095936,0.444473,0.491042,0.739871,5.517329,6.2572,3.489399,0.76685,2.722549,3.534651,10.510323,0.173054,0.016227,0.279,15,aida
a_s_u_s_r_l,A.S.U. S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2021,15.532783,14.394888,1.137895,0.296189,0.841706,0.062669,0.779037,0.186606,0.592431,0.640089,1.069617,6.616482,7.686099,4.504775,0.94576,3.559015,4.127084,12.778326,0.625935,0.013912,0.279,15,aida
a_s_u_s_r_l,A.S.U. S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2022,18.845934,16.063927,2.782007,0.271815,2.510192,0.073127,2.437065,0.657938,1.779127,1.832512,0.923215,6.341712,7.264927,2.213743,0.855024,1.358719,5.906208,13.927276,0.125413,0.033033,0.279,15,aida
a_s_u_s_r_l,A.S.U. S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2023,13.904876,13.278008,0.626868,0.208932,0.417936,0.167837,0.250099,0.05006,0.200039,0.334282,0.888385,7.352727,8.241112,2.622808,0.48794,2.134868,6.106244,11.421191,0.174102,0.063991,0.279,14,aida
a_s_u_s_r_l,A.S.U. S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2024,11.313493,10.987751,0.325742,0.139423,0.186319,0.150847,0.035472,0.029135,0.006337,0.074528,0.829639,6.492309,7.321948,2.360863,1.151499,1.209364,6.112584,11.220711,0.080677,0.063895,0.279,14,aida
a_v_saldature_s_r_l,A.V. SALDATURE S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2020,5.099684,4.812878,0.286806,0.259586,0.02722,0.131941,-0.104721,0.005358,-0.110079,0.019626,0.913347,1.731085,2.644432,2.727533,0.26692,2.460613,0.183819,4.340542,0.259586,0.048374,0.279,11,aida
a_v_saldature_s_r_l,A.V. SALDATURE S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2021,6.969433,6.597967,0.371466,0.223322,0.148144,0.105352,0.042792,0.013854,0.028938,0.100182,0.749064,2.113066,2.86213,2.822731,0.173358,2.649373,0.212757,4.500609,0.059039,0.037323,0.279,12,aida
a_v_saldature_s_r_l,A.V. SALDATURE S.R.L.,0,IT,EUR,Industrials,Metals Wholesale (ATECO 4672),2022,7.046233,6.694451,0.351782,0.180889,0.170893,0.106443,0.06445,0.029431,0.035019,0.092855,0.932058,2.0953,3.027358,2.938808,0.159226,2.779582,0.247776,4.750833,0.363883,0.03622,0.279,12,aida
